,sleep_stage,parcel_key,cortex,epoch_length,powerallfreq,psd_raw_delta,psd_raw_theta,psd_raw_alpha,psd_raw_beta,psd_raw_gamma,psd_norm_delta,psd_norm_theta,psd_norm_alpha,psd_norm_beta,psd_norm_gamma,adr,psd_tot,spectral_entropy,pe_delta,pe_theta,pe_alpha,pe_beta,pe_gamma,komp,powerallfreq_std,psd_raw_delta_std,psd_raw_theta_std,psd_raw_alpha_std,psd_raw_beta_std,psd_raw_gamma_std,psd_norm_delta_std,psd_norm_theta_std,psd_norm_alpha_std,psd_norm_beta_std,psd_norm_gamma_std,adr_std,psd_tot_std,spectral_entropy_std,pe_delta_std,pe_theta_std,pe_alpha_std,pe_beta_std,pe_gamma_std,komp_std,n_recordings,n_patients,parcel_name,lobe
33,N2,front_rect_orb,healthy,2,1.1498743955244199e-12,6.05306182700972e-11,2.91940032479874e-11,2.0559837935005797e-11,1.4359297506331899e-11,2.89301072135964e-12,0.517623600684986,0.257031532472128,0.174974420797526,0.134634697987288,0.0318554620610857,0.457801672346282,1.14987439552442e-10,2.81195212951777,0.918208380696731,0.929807475007894,0.90859714414657,0.877594873227475,0.828074877642265,0.632666666666667,,,,,,,,,,,,,,,,,,,,,1,1,Gyrus rectus and orbital gyri,Frontal
34,N2,front_rect_orb,healthy,5,1.90846190373083e-10,7.59719073341156e-09,7.67038811863407e-10,3.96904370659057e-10,2.03331940197047e-10,2.0949035024284098e-11,0.719113480450522,0.151229993620685,0.122014222429578,0.0693321336744268,0.0206523834642967,0.265465173776717,8.58807856678875e-09,2.03430808723397,0.870501034215693,0.85500338227991,0.86562557010759,0.829396547052354,0.733281169086671,0.496,,,,,,,,,,,,,,,,,,,,,1,1,Gyrus rectus and orbital gyri,Frontal
35,N2,front_rect_orb,healthy,10,6.140778250651929e-11,1.21510148973373e-09,4.1281201446169503e-10,1.04128564576838e-09,4.17571459726322e-10,2.29674569118703e-11,0.444619493794938,0.150795314728537,0.3710628317737,0.15100854708472,0.0083512349811147,0.934369924140097,2.76335021279337e-09,2.66917645113176,0.896585772375361,0.924620790004511,0.934352130090067,0.841858554543171,0.733025227024444,0.541083333333333,,,,,,,,,,,,,,,,,,,,,1,1,Gyrus rectus and orbital gyri,Frontal
36,N2,front_sup_mot,healthy,2,1.41817727914458e-11,7.28919961964436e-10,4.74591901183174e-10,2.37914880267529e-10,1.39751940078669e-10,2.2876605889217e-11,0.522882252061161,0.320474535834326,0.158189584138919,0.105942213142926,0.0212782786608856,0.359475143477243,1.41817727914458e-09,2.73172953609385,0.923857976648667,0.936450599757426,0.890577911964216,0.86911924761427,0.821762252240156,0.6265,,,,,,,,,,,,,,,,,,,,,1,1,Supplementary motor cortex,Frontal
37,N2,front_sup_mot,healthy,5,1.98770912500189e-11,5.30317129003853e-10,1.3408349281073002e-10,1.9139533198122003e-10,1.14815918568231e-10,1.07550495584598e-11,0.554744442232186,0.171050515944647,0.190446769663206,0.150694502497183,0.0420554324540338,0.379099521971046,8.94469106250849e-10,2.59850290981075,0.908032658187621,0.900460128334468,0.901785520545505,0.861077130069953,0.773549472421537,0.524461538461538,,,,,,,,,,,,,,,,,,,,,1,1,Supplementary motor cortex,Frontal
38,N2,front_sup_mot,healthy,10,9.84341945327371e-12,2.70098156588994e-10,6.97584843786812e-11,9.44462194698273e-11,4.8849616433531094e-11,5.17704292544004e-12,0.606879707114258,0.163996420549926,0.205529953799392,0.118086659666164,0.0132975044668512,0.345063064885519,4.4295387539731703e-10,2.45202457461377,0.907660796124042,0.910831355960839,0.919344612437973,0.876967032557898,0.797265248614064,0.530333333333333,,,,,,,,,,,,,,,,,,,,,1,1,Supplementary motor cortex,Frontal
39,N2,front_sup_pole,healthy,2,1.46168462089225e-11,7.30511250920489e-10,1.59846814000499e-10,2.3782688560296403e-10,1.5170762961654101e-10,1.1370500472518898e-11,0.566995346889987,0.151549339115958,0.213847659066077,0.163823293549698,0.0158826465433863,0.681948051603972,1.1693476967138e-09,2.32272588795783,0.867675398272256,0.914731435003351,0.921831655982546,0.861669691756301,0.771234581997841,0.6125,,,,,,,,,,,,,,,,,,,,,1,1,Superior frontal gyrus and frontal pole,Frontal
40,N2,front_sup_pole,healthy,5,5.67712615448461e-11,2.1384888485155e-09,4.16120830290292e-10,1.01032187085432e-10,8.414638334847709e-11,2.00412820307165e-11,0.804369290813455,0.169161306075213,0.0428855631680603,0.0461023300079178,0.0184834421591524,0.055677158921652,2.55470676951808e-09,1.8657001595154,0.894605857704621,0.874292940059534,0.850365339431546,0.842169477597834,0.780703508701265,0.498692307692308,,,,,,,,,,,,,,,,,,,,,1,1,Superior frontal gyrus and frontal pole,Frontal
41,N2,front_sup_pole,healthy,10,3.9439309921664294e-11,1.2362729343224e-09,3.36655290695067e-10,1.72110621931356e-10,1.73233688875195e-10,4.555380029551209e-11,0.685894191271143,0.194409459629528,0.0993180595668897,0.10176197569806,0.0278087614016267,0.145894570715869,1.7747689464748901e-09,2.41085587248518,0.913274644659756,0.911002110069651,0.908721945166977,0.901851985691554,0.828086369554294,0.537416666666667,,,,,,,,,,,,,,,,,,,,,1,1,Superior frontal gyrus and frontal pole,Frontal
42,N2,front_triang_inf,healthy,2,2.5300292075978e-11,1.3956066045292101e-09,7.01776946108556e-10,3.54342206502992e-10,3.48281452977119e-10,5.93374240192677e-11,0.541192650337864,0.251554843351635,0.149536146146591,0.156059694243313,0.0313802193381823,0.371662003257268,2.5300292075978e-09,2.77126636960843,0.931469136289935,0.91816136788305,0.912024184716663,0.871227656058902,0.829675176583531,0.63275,,,,,,,,,,,,,,,,,,,,,1,1,Triangular part of inferior frontal gyrus,Frontal
